Account,Customer Name,Product,Description,EAN,outerQ,InnerQ,Price,Qty,Value,Weight,Prod Height (cm),Prod Width (cm),Prod Length (cm),Outer,InnerB
TO00041,LYNDA MILES T/AS MILES APART,PVIL,CARDS 12 - PORTRAIT WINTER SCENE,5012128398018.00,24,0,0.48,72,34.56,0.14,2,12,19,5024004666005.00,5024004666012.00
TO00041,LYNDA MILES T/AS MILES APART,PVO/3,ACT GOLD&SILVER MIRROR CARD A4 12SH,5012128109393.00,30,6,0.5,30,15,0.18,0.5,36.5,23.3,5024004109397.00,5024004646045.00
TO00041,LYNDA MILES T/AS MILES APART,PVO/4,ACT - GLD&SLV MIRROR CD A4 12SH (TC),5012128109393.00,12,0,0.5,48,24,0.2,36.5,23,0.5,5024004109397.00,
TO00041,LYNDA MILES T/AS MILES APART,PVR/2,"ACT- BLACK CARD, A4, 20 SHEETS",5012128109416.00,36,0,0.52,72,37.44,0.32,1,36.5,23,5024004109410.00,
TO00041,LYNDA MILES T/AS MILES APART,PVRL/4,STAT-PENS 4 HANDWRITING PENS,5012128263644.00,48,24,0.5,48,24,0.04,22,11,1.5,5024004360125.00,5024004360132.00
TO00041,LYNDA MILES T/AS MILES APART,PVW/1,"ACT-ANIMAL PRINT CARD,A4,20 SHEETS",5012128109409.00,36,12,0.53,36,19.08,0.32,0.7,22,37,5024004109403.00,5024004544266.00
TO00041,LYNDA MILES T/AS MILES APART,PWI/6,"ACT- PASTEL CARD, A4 12 SHEETS",5012128096266.00,24,0,0.5,216,108,0.16,0.5,36.5,22,5024004096260.00,
TO00041,LYNDA MILES T/AS MILES APART,PWNT,CARDS 12-PORTRAIT FINE ART,5012128398025.00,24,0,0.48,72,34.56,0.14,2,12,19,5024004666029.00,5024004666036.00
TO00041,LYNDA MILES T/AS MILES APART,PWOD/1,PAINT - MYO WOODEN PUZZLE - 4 DES,5012128195563.00,24,0,0.82,96,78.72,0.16,23,2.3,17,5024004223499.00,
TO00041,LYNDA MILES T/AS MILES APART,QWAU/1,STAT-A5 TRIBAL&STRIPE NOTEBK 80SHS,5012128384899.00,24,0,1,24,24,0.3,1.5,14.5,21,5024004637906.00,
TO00041,LYNDA MILES T/AS MILES APART,RAO/3,"STAT LEVER ARCH, 4 X MIXED COLOURS",5012128087417.00,24,0,0.85,72,61.2,0.38,31.7,7.2,28.6,5024004087411.00,
TO00041,LYNDA MILES T/AS MILES APART,RAO/4,"STAT LEVER ARCH, 3 X MIXED COLOURS",5012128087417.00,24,0,0.85,24,20.4,0,0,0,0,5024004087411.00,
TO00041,LYNDA MILES T/AS MILES APART,RAW/4,STAT RINGBINDER 3 X DESIGNS,5012128088155.00,36,0,0.52,36,18.72,0.22,4,25,31.5,5024004088159.00,
TO00041,LYNDA MILES T/AS MILES APART,RAW/5,STAT RINGBINDER 2 X DESIGNS,5012128088155.00,36,0,0.52,36,18.72,0.22,4,25,31.5,5024004088159.00,
TO00041,LYNDA MILES T/AS MILES APART,REB/3,"STAT,DUPLICATE RECEIPT BOOK,1-80",5012128498527.00,96,12,0.28,96,26.88,0.14,1.5,10,13,5024004985274.00,5024004581759.00
TO00041,LYNDA MILES T/AS MILES APART,REMB15,DIARIES FASHION POCKET WTV FAUX LEAT,5012128403200.00,96,24,0.38,192,72.96,0.04,1,7,10.5,5024004675229.00,5024004675236.00
TO00041,LYNDA MILES T/AS MILES APART,REPR,PRINCESS - REWARD CHART,5012128344046.00,36,0,0.53,36,19.08,0.18,36,1.6,25,5024004547700.00,.
TO00041,LYNDA MILES T/AS MILES APART,RETT,TRANSPORT - REWARD CHART,5012128344053.00,36,0,0.53,36,19.08,0.18,36,1.6,24,5024004547724.00,.
TO00041,LYNDA MILES T/AS MILES APART,SAPS,SS - SACKS GIANT PLASTIC X 2,5012128412110.00,48,0,0.5,48,24,0.08,33.5,25.5,0.3,5024004688540.00,
TO00041,LYNDA MILES T/AS MILES APART,SASA,SS SACKS SANTA HOHOHO,5012128412042.00,36,0,2.5,36,90,0.16,76,50,6,5024004688403.00,
TO00041,LYNDA MILES T/AS MILES APART,SBTO,SS MISC PACK OF 4 TOPPERS,5012128412134.00,48,24,0.45,48,21.6,0.02,21.5,13,4,5024004688588.00,5024004688595.00
TO00041,LYNDA MILES T/AS MILES APART,SCCH,MISC HATS STRIPED TRIM HAT,5012128414251.00,48,0,0.5,48,24,0.04,50,25,3,5024004690840.00,
TO00041,LYNDA MILES T/AS MILES APART,SCDD,DIARIES SECRET PHOTO PUPPY & KITTEN,5012128410376.00,30,0,0.47,30,14.1,0.16,1,15.5,14,5024004685563.00,5024004685570.00
TO00041,LYNDA MILES T/AS MILES APART,SCGR,DIARIES SECRET GIRLS X 2 DESIGNS,5012128410383.00,30,0,0.47,30,14.1,0.16,1,15.5,14,5024004685587.00,5024004685594.00
TO00041,LYNDA MILES T/AS MILES APART,SCK,PARTY - 15 X GLOW STICKS IN A TUBE,5012128089442.00,48,24,0.5,48,24,0.08,26.1,3.5,3.5,5024004089446.00,
TO00041,LYNDA MILES T/AS MILES APART,SCLA,SS XMAS MISS CLAUS OUTFIT,5012128412080.00,24,0,1.85,24,44.4,0.14,41,27,1,5024004688489.00,
TO00041,LYNDA MILES T/AS MILES APART,SCLX,SS STOCKINGS DELUXE 50CM,5012128412028.00,48,0,0.53,48,25.44,0.04,45,28,1,5024004688366.00,
TO00041,LYNDA MILES T/AS MILES APART,SCNN,"STAT A5 TWINWIRE NBOOK, 70SH, 80GS",5012128415609.00,48,24,0.54,48,25.92,0.22,1.5,15.5,21,5024004693087.00,5024004693094.00
TO00041,LYNDA MILES T/AS MILES APART,SCOU,STAT-FONT A6 DESIGN NOTEBOOK 100SH,5012128415616.00,24,12,0.4,24,9.6,0.14,1.5,11,15,5024004693100.00,5024004693117.00
TO00041,LYNDA MILES T/AS MILES APART,SCOV,STAT-FONT A4 TWINWIRE NOTEBOOK 70SH,5012128415623.00,24,12,1,24,24,0.4,1.5,22,30,5024004693124.00,5024004693131.00
TO00041,LYNDA MILES T/AS MILES APART,SCOW,STAT-FONT DESIGN 5 BALPOINT PENS,5012128415630.00,24,12,0.48,24,11.52,0.06,1.5,10.5,20.5,5024004693148.00,5024004693155.00
TO00041,LYNDA MILES T/AS MILES APART,SDPM,WRAP 3M - FEMALE DESIGNS X 4,5012128312151.00,48,0,0.46,48,22.08,0.14,70,3.5,3.5,5024004472125.00,
TO00041,LYNDA MILES T/AS MILES APART,SFCAR,SOFIA THE FIRST CARRY ALONG COLOURIN,5012128424335.00,12,6,0.55,24,13.2,0.12,17.5,11.5,2,5024004707241.00,
TO00041,LYNDA MILES T/AS MILES APART,SFPPK,SOFIA THE FIRST PLAY PACK,5012128424274.00,24,12,0.58,24,13.92,0.12,35,21.5,1.5,5024004707166.00,
TO00041,LYNDA MILES T/AS MILES APART,SGST,SS STOCKING - SUPE5R SIZE,5012128411854.00,36,0,2.5,36,90,0.28,94,84,1,5024004688144.00,
TO00041,LYNDA MILES T/AS MILES APART,SLNB,STAT-SLOGANS A5 NOTEBOOK 80SH 70GSM,5012128415432.00,24,0,0.54,48,25.92,0.2,0.8,14.5,21,5024004692769.00,
TO00041,LYNDA MILES T/AS MILES APART,SLPC,STAT- SLOGAN RETANGLE PENCIL CASE,5012128414725.00,24,12,0.5,24,12,0.04,3,11,22,5024004691427.00,5024004691434.00
TO00041,LYNDA MILES T/AS MILES APART,SLTT,STOCKING - LETTER TO SANTA,5012128411885.00,42,0,0.98,42,41.16,0.12,56,32.5,1,5024004688182.00,
TO00041,LYNDA MILES T/AS MILES APART,SMK,PAINT - PLAY APRON,5012128539312.00,36,12,0.57,36,20.52,0.16,45.2,0.8,25.4,5024004539316.00,5024004582510.00
TO00041,LYNDA MILES T/AS MILES APART,SPCRP,SPIDERMAN CARRY PACK,5012128424007.00,20,10,1.1,20,22,0.24,35,22,0.7,5024004706701.00,
TO00041,LYNDA MILES T/AS MILES APART,SPEN,COLOURING - 6 ROLLER STAMPER PENS,5012128344268.00,36,12,0.52,36,18.72,0.08,19.2,2.5,18.5,5024004548158.00,5024004548165.00
TO00041,LYNDA MILES T/AS MILES APART,SPEN/1,COLOURING - 5 STAMPER PENS,5012128344268.00,36,12,0.52,36,18.72,0.08,19.4,15.7,2.5,5024004548158.00,5024004548165.00
TO00041,LYNDA MILES T/AS MILES APART,SPET,PET - STOCKING CAT AND DOG NOVELTY,5012128412035.00,42,0,0.5,42,21,0.04,43.5,30.5,1,5024004688380.00,
TO00041,LYNDA MILES T/AS MILES APART,SPSTP,SPIDERMAN STICKER PAD,5012128423932.00,24,12,0.58,24,13.92,0.16,29.5,21,0.5,5024004706565.00,
TO00041,LYNDA MILES T/AS MILES APART,SPYM,ALB - SPOT/STRIPE 10SHT SELF ADHES,5012128412691.00,12,6,1.12,24,26.88,0.58,2.5,25,29,5024004689202.00,5024004689219.00
TO00041,LYNDA MILES T/AS MILES APART,SPYN,"ALB - SPOT/STRIPE 4X6"" - 200 PHOTOS",5012128412707.00,12,6,1.98,24,47.52,0.76,5.5,22.5,23,5024004689226.00,5024004689233.00
TO00041,LYNDA MILES T/AS MILES APART,SPYO,"ALB - SPOT/STRIPE 7X5"" - 104 PHOTOS",5012128412714.00,12,6,1.9,24,45.6,0.74,4.5,25.5,27.5,5024004689240.00,5024004689257.00
TO00041,LYNDA MILES T/AS MILES APART,SPYP,"ALB - SPOT/STRIPE 4X6"" - 80 PHOTOS",5012128412721.00,24,6,0.71,48,33.84,0.16,4.7,13,17,5024004689264.00,5024004689271.00
TO00041,LYNDA MILES T/AS MILES APART,SRDJ,SPOTS & STRIPE JOTTER X3 SIZES,5012128394348.00,24,0,0.54,24,12.96,0.14,1,10,27,5024004658130.00,
TO00041,LYNDA MILES T/AS MILES APART,SRLJ,SPOTS&STRIPES LONG JOTTER 120SHEETS,5012128394409.00,48,24,0.5,48,24,0.1,2,8,12.5,5024004658253.00,5024004658260.00
TO00041,LYNDA MILES T/AS MILES APART,SRMH,SPOTS&SRIPES A5 NOTEBOOK,5012128394300.00,24,12,0.54,24,12.96,0.26,12,15,21,5024004658055.00,5024004658062.00
TO00041,LYNDA MILES T/AS MILES APART,SRVS/1,STAT - STICKY FOAM 3D PADS (3SH A4),5012128267444.00,36,12,0.5,72,36,0.11,32.5,0.5,22.4,5024004367742.00,5024004367759.00
TO00041,LYNDA MILES T/AS MILES APART,SSAN,XMAS OUTFIT KIDS ANGEL,5012128414008.00,24,0,2.7,48,129.6,0.16,70,44,2,5024004690642.00,
TO00041,LYNDA MILES T/AS MILES APART,SSAO,STAT-SPOTS&STRIPES A6 NOTEBOOK 100SH,5012128415685.00,48,24,0.4,48,19.2,0.14,1.5,10.5,14.5,5024004693247.00,5024004693254.00
TO00041,LYNDA MILES T/AS MILES APART,SSAQ,STAT-SPOTS&STRIPES A5 NOTEBOOK 70SH,5012128415678.00,48,24,0.54,48,25.92,0.24,1,15,21,5024004693223.00,5024004693230.00
TO00041,LYNDA MILES T/AS MILES APART,SSAS,SPOTS AND STRIPES A4 NOTEBOOK,5012128415661.00,24,0,1,24,24,0.6,0.7,21,29.5,5024004693209.00,
TO00041,LYNDA MILES T/AS MILES APART,SSEH,HATS - ELF HAT,5012128414091.00,48,0,0.5,96,48,0.04,41,31,2,5024004690826.00,
TO00041,LYNDA MILES T/AS MILES APART,SSNB,STAT A4 DLX DIVIDER NOTEBOOK 200 SHT,5012128364433.00,12,0,1.5,24,36,1.06,3,29.5,24.5,5024004592687.00,
TO00041,LYNDA MILES T/AS MILES APART,SSNK,STAT-SPOTS&STRIPES SLIM NBOOK W/PEN,5012128415715.00,24,12,0.52,24,12.48,0.14,2,10,15.5,5024004693308.00,5024004693315.00
TO00041,LYNDA MILES T/AS MILES APART,SSPC,STAT-SPOTS&STRIPS TRIANGULAR PCASE,5012128415708.00,48,24,0.52,48,24.96,0.04,7,7,20,5024004693285.00,5024004693292.00
TO00041,LYNDA MILES T/AS MILES APART,SSSH,HATS - PACK OF 2 X RED FELT,5012128414268.00,24,0,0.5,24,12,0.06,47,29,4.4,5024004690864.00,
TO00041,LYNDA MILES T/AS MILES APART,SSTO,STOCKING WITH ADJUSTABLE ARROW,5012128413988.00,36,0,1.05,36,37.8,0.1,83,45,1,5024004690604.00,
TO00041,LYNDA MILES T/AS MILES APART,SSTR,MISC XMAS FELT TREAT BAGS X3 DESIGNS,5012128413964.00,48,0,0.5,144,72,0.04,27,18,1.5,5024004690581.00,
TO00041,LYNDA MILES T/AS MILES APART,STCK/3,STAT - HOOK & LOOP X 3 SHEETS,5012128267420.00,48,24,0.5,96,48,0.08,0.8,20.5,21.5,5024004367704.00,5024004367711.00
TO00041,LYNDA MILES T/AS MILES APART,STFA,STICKER PAD - REWARD STICKERS X 10,5012128265372.00,24,0,0.5,48,24.24,0.2,0.4,31.9,20.8,5024004363607.00,
TO00041,LYNDA MILES T/AS MILES APART,STNM/1,STAT 10 X MINI MEMO PADS 50 SHEET,5012128370274.00,24,12,0.46,24,11.04,0.24,4.5,7.5,10.5,5024004605882.00,5024004605899.00
TO00041,LYNDA MILES T/AS MILES APART,STT/2,STAT-STAPLES 26/6 X 5000,5012128579004.00,40,20,0.3,80,24,0.14,2.5,4,11.5,5024004579008.00,5024004652879.00
TO00041,LYNDA MILES T/AS MILES APART,STTT,STAT-STAPLER IN PP BOX PINK/BLACK,5012128385001.00,48,24,0.98,48,47.04,0.26,5.5,4,16,5024004638125.00,5024004638132.00
TO00041,LYNDA MILES T/AS MILES APART,STTT/2,STAT-STAPLER IN PP BOX IN BLACK,5012128385001.00,48,24,0.98,48,47.04,0.26,4,5.5,16,5024004638125.00,5024004638132.00
TO00041,LYNDA MILES T/AS MILES APART,STUD15,DIARIES STUDENT A5 X 2 DESIGNS,5012128410345.00,20,0,0.48,20,9.6,0.18,21,1,15,5024004685501.00,5024004685518.00
TO00041,LYNDA MILES T/AS MILES APART,SUZP/1,"ACT-PASTEL PAPER PAD, A4, 40 SHEETS",5012128269820.00,36,12,0.53,36,19.08,0.22,0.6,29.5,21.5,5024004372500.00,5024004372517.00
TO00041,LYNDA MILES T/AS MILES APART,SVRL,BAGS LARGE CONTEMPORARY STAGS,5012128400872.00,48,12,0.42,48,20.16,0.08,32.8,26.5,0.3,5024004671801.00,5024004671818.00
TO00041,LYNDA MILES T/AS MILES APART,SVRM,BAGS MEDIUM CONTEMPORARY STAGS,5012128400889.00,48,12,0.29,48,13.92,0.04,17.8,22.7,0.3,5024004671825.00,5024004671832.00
TO00041,LYNDA MILES T/AS MILES APART,SVRX,BAGS X LARGE CONTEMPORARY STAGS,5012128400896.00,48,12,0.48,48,23.04,0.1,33,45.8,0.4,5024004671849.00,5024004671856.00
TO00041,LYNDA MILES T/AS MILES APART,SWOT/1,"ACT-BRIGHT PAPER PAD, A4, 40 SHEETS",5012128340390.00,36,12,0.53,36,19.08,0.22,0.5,30,21,5024004539552.00,5024004539576.00
TO00041,LYNDA MILES T/AS MILES APART,TAMC,TABLEWARE FELT MATS X2 / COASTERS X2,5012128414015.00,48,0,0.94,48,45.12,0.08,37.5,34,1.5,5024004690666.00,
TO00041,LYNDA MILES T/AS MILES APART,TARU,TABLEWARE- D/C STAR TABLE RUNNER,5012128414039.00,48,0,0.48,48,23.04,0.02,30,10,2,5024004690703.00,
TO00041,LYNDA MILES T/AS MILES APART,TBBL,TINSEL - 2M BLACK,5012128408755.00,24,0,0.47,144,67.68,0.04,114,8.5,4,5024004682500.00,
TO00041,LYNDA MILES T/AS MILES APART,TBGR,TINSEL 2M GREEN,5012128408762.00,24,0,0.47,72,33.84,0.04,114,8.5,4,5024004682524.00,
TO00041,LYNDA MILES T/AS MILES APART,TBPN,TINSEL 2M PINK,5012128408823.00,24,0,0.47,96,45.12,0.04,114,8.5,4,5024004682623.00,
TO00041,LYNDA MILES T/AS MILES APART,TBPU,TINSEL 2M PURPLE,5012128408809.00,24,0,0.47,120,56.4,0.04,114,8.5,4,5024004682586.00,
TO00041,LYNDA MILES T/AS MILES APART,TBRE,TINSEL 2M RED,5012128408786.00,24,0,0.47,192,90.24,0.04,114,8.5,4,5024004682548.00,
TO00041,LYNDA MILES T/AS MILES APART,TBSV,TINSEL 2M SILVER,5012128408731.00,24,0,0.47,168,78.96,0.04,114,8.5,4,5024004682463.00,
TO00041,LYNDA MILES T/AS MILES APART,TBTE,TINSEL 2M TEAL,5012128408816.00,24,0,0.47,96,45.12,0.04,114,8.5,4,5024004682609.00,
TO00041,LYNDA MILES T/AS MILES APART,TCRG,TINSEL 2M CHUNKY 2 TONE RED/GLD,5012128408670.00,24,0,0.47,72,33.84,0.04,114,8.5,4,5024004682340.00,
TO00041,LYNDA MILES T/AS MILES APART,TCSS,TINSEL 2M CHUNKY 2 TONE SILVER,5012128408724.00,24,0,0.47,144,67.68,0.04,114,8.5,4,5024004682449.00,
TO00041,LYNDA MILES T/AS MILES APART,TDDC,TAGS XMAS 40 DIE CUT CUTE,5012128399794.00,48,0,0.45,48,21.6,0.04,22.5,16.5,1,5024004669648.00,
TO00041,LYNDA MILES T/AS MILES APART,TDTT,TAGS XMAS 40 DIE CUT TRADITIONAL,5012128399800.00,48,0,0.45,48,21.6,0.04,22.5,16.5,1,5024004669662.00,
TO00041,LYNDA MILES T/AS MILES APART,TDV/1,STAT-TAPE       DISPENSER,5012128052880.00,24,12,0.62,168,104.16,0.78,9.5,7,16.5,5024004052884.00,5024004641989.00
TO00041,LYNDA MILES T/AS MILES APART,TFCU,TAGS XMAS 30 DIE CUT CUTE,5012128399770.00,48,0,0.45,48,21.6,0.04,34.5,11,1,5024004669600.00,
TO00041,LYNDA MILES T/AS MILES APART,TFDN,EDUCATIONAL - AL&NB SNAP IN TIN-CDU,5012128386749.00,48,24,0.52,48,24.96,0.12,2,9,10,5024004641934.00,5024004641941.00
TO00041,LYNDA MILES T/AS MILES APART,TFFY,EDUCATIONAL - AN&FRM TRUMPS TIN CDU,5012128386756.00,48,24,0.5,96,48.96,0.12,2,9,10,5024004641958.00,5024004641965.00
TO00041,LYNDA MILES T/AS MILES APART,TFMO,EDUCATIONAL - MNS&FRY SNAP CARD TIN,5012128386732.00,48,24,0.5,48,24,0.12,2,9,10,5024004641910.00,5024004641927.00
TO00041,LYNDA MILES T/AS MILES APART,TFTD,TAGS XMAS 30 TRADITIONAL,5012128399763.00,48,0,0.45,48,21.6,0.04,34.5,11,1,5024004669587.00,
TO00041,LYNDA MILES T/AS MILES APART,TGSG,TAGS XMAS 36 GLITTER -ASSRTD DESIGN,5012128399879.00,48,0,0.45,48,21.6,0.06,35,10.5,1.3,5024004669808.00,
TO00041,LYNDA MILES T/AS MILES APART,TILC,ACC 20 SHEET TISSUE PAPER TRAD,5012128406720.00,50,0,0.47,50,23.5,0.08,54,13,0.04,5024004679722.00,
TO00041,LYNDA MILES T/AS MILES APART,TIQW,ACC 10 SHEETS TISSUE PAPER TRAD,5012128406706.00,50,0,0.32,50,16,0.04,54,13,0.03,5024004679685.00,
TO00041,LYNDA MILES T/AS MILES APART,TIVX,ACC 10 SHEETS TISSUE PAPER CONTEMP,5012128406713.00,50,0,0.32,50,16,0.04,54,13,0.03,5024004679708.00,
TO00041,LYNDA MILES T/AS MILES APART,TJK/1,FRM STYRENE  CLIP 12X16IN (30X40CMS),5012128620010.00,5,0,1.57,25,39.25,0.48,1.5,30.8,41,5024004620014.00,
TO00041,LYNDA MILES T/AS MILES APART,TJL/1,FRM STYRENE  CLIP 12X18IN (30X45CMS),5012128620027.00,5,0,1.68,15,25.2,0.56,1.5,30.9,46,5024004620021.00,
TO00041,LYNDA MILES T/AS MILES APART,TJM/1,FRM STYRENE  CLIP 16X20IN (40X50CMS),5012128620034.00,5,0,2.04,25,51,0.78,51,1.4,40.8,5024004620038.00,
TO00041,LYNDA MILES T/AS MILES APART,TJP/1,FRM STYRENE  CLIP 18X24IN (46X61CMS),5012128620065.00,5,0,3.05,5,15.25,1.06,61,1.5,46.5,5024004620069.00,
TO00041,LYNDA MILES T/AS MILES APART,TJQ/1,FRM STYRENE  CLIP 20X24IN (50X60CMS),5012128620072.00,5,0,3.25,5,16.25,1.2,60.5,1.5,51,5024004620076.00,
TO00041,LYNDA MILES T/AS MILES APART,TJR/1,FRM STYRENE  CLIP 20X28IN (50X70CMS),5012128620089.00,5,0,3.7,10,37,1.2,70.5,50.5,1,5024004620083.00,
TO00041,LYNDA MILES T/AS MILES APART,TJV/1,FRM STYRENE  CL 24.5X36.5 (62X93CMS),5012128630026.00,5,0,5.95,5,29.75,2.02,93.5,62.5,1.5,5024004630020.00,
TO00041,LYNDA MILES T/AS MILES APART,TJW/1,FRM STYRENE  CLIP 28X40IN (70X100CM),5012128630033.00,2,0,7.58,2,15.16,2.68,102.5,2.5,71.8,5024004630037.00,
TO00041,LYNDA MILES T/AS MILES APART,TOOP,TAGS XMAS 50 FOILED CUTE,5012128399749.00,48,0,0.49,96,47.04,0.14,33,23,1,5024004669549.00,
TO00041,LYNDA MILES T/AS MILES APART,TPCR,TABLEWARE TABLECOVER TRAD 120X180,5012128404801.00,48,0,0.48,48,23.04,0.8,39.6,22.5,0.5,5024004676844.00,
TO00041,LYNDA MILES T/AS MILES APART,TPNP,"TABLEWARE 25,2PLY NAPKINS TRAD",5012128404740.00,24,0,0.48,144,69.12,0.1,23,19.5,1.5,5024004676806.00,
TO00041,LYNDA MILES T/AS MILES APART,TPPL,"TABLEWARE PLATES 8X9"" TRAD ROUND",5012128413858.00,48,0,0.48,96,46.08,0.14,32.1,24.5,1.5,5024004690505.00,
TO00041,LYNDA MILES T/AS MILES APART,TRDD,TAGS XMAS 50 FOLIED TRADITIONAL,5012128399732.00,48,0,0.49,96,47.04,0.14,33,23,1,5024004669525.00,
TO00041,LYNDA MILES T/AS MILES APART,TRNL,BAGS LARGE TRADITIONAL ROBIN,5012128402036.00,48,12,0.42,48,20.16,0.08,32.8,26.5,0.3,5024004673461.00,5024004673478.00
TO00041,LYNDA MILES T/AS MILES APART,TRNX,BAGS X LARGE TRADITIONAL ROBIN,5012128402043.00,48,12,0.48,48,23.04,0.1,45,33,0.4,5024004673485.00,5024004673492.00
TO00041,LYNDA MILES T/AS MILES APART,TSBU,TINSEL 2M STAR BLUE,5012128408595.00,24,0,0.47,72,33.84,0.02,110,8.5,3,5024004682302.00,
TO00041,LYNDA MILES T/AS MILES APART,TSRE,TINSEL 2M STAR RED,5012128408564.00,24,0,0.47,96,45.12,0.02,110,8.5,3,5024004682241.00,
TO00041,LYNDA MILES T/AS MILES APART,TSTT,TAGS XMAS 50 FOIL CONTEMPORARY,5012128399756.00,48,0,0.49,96,47.04,0.14,33,23,1,5024004669563.00,
TO00041,LYNDA MILES T/AS MILES APART,TTCG,"TAGS, 20 GOLDERN CLASSICS SELF ADHES",5012213311878.00,25,0,0.33,25,8.25,0.02,26,9.5,0.2,5012213311892.00,
TO00041,LYNDA MILES T/AS MILES APART,TTCX,TAGS 20 CUTE BEAR SELF ADHESIVE,5012213333603.00,25,0,0.33,25,8.25,0.02,22,11.2,0.2,5012213333610.00,
TO00041,LYNDA MILES T/AS MILES APART,TTET,TAGS 20 ELEGANT TRADITIONS SELF ADH,5012213311816.00,25,0,0.33,25,8.25,0.02,26,9.5,0.2,5012213311830.00,
TO00041,LYNDA MILES T/AS MILES APART,TTGD,TAGS 12 GOLD FOILED,5012213312370.00,25,0,0.33,25,8.25,0.02,15.5,10,0.5,5012213312394.00,
TO00041,LYNDA MILES T/AS MILES APART,TTKD,"TAGS, 20 NOVELTY KIDS SELF ADHESIVE",5012213311847.00,25,0,0.33,25,8.25,0.02,22,11.2,0.2,5012213311861.00,
TO00041,LYNDA MILES T/AS MILES APART,TTOP,"TAGS, 20 OPULENT WONDER SELF ADHESIV",5012213311908.00,25,0,0.33,25,8.25,0.02,26,9.5,0.2,5012213311922.00,
TO00041,LYNDA MILES T/AS MILES APART,TTRE,TAGS 12 RED FOILED,5012213312400.00,25,0,0.33,25,8.25,0.02,15.5,10,0.5,5012213312424.00,
TO00041,LYNDA MILES T/AS MILES APART,TTSL,TINSEL MINI 5M SILVER,5012128408984.00,24,0,0.48,24,11.52,0.02,9,9,7,5024004682807.00,
TO00041,LYNDA MILES T/AS MILES APART,TTSV,TAGS 12 SILVER FOILED,5012213312349.00,25,0,0.33,25,8.25,0.02,15.5,10,0.5,5012213312363.00,
TO00041,LYNDA MILES T/AS MILES APART,TTSZ,TAGS 20 SANTA & FRIENDS SELF ADHES,5012213311960.00,25,0,0.33,25,8.25,0.02,22,11.2,0.2,5012213311984.00,
TO00041,LYNDA MILES T/AS MILES APART,UGC/3,"STAT 4 X CHUNKY JOTTERS, 40 SHEETS",5012128082764.00,48,24,0.45,96,43.2,0.18,1.5,7.5,21,5024004082768.00,5024004585047.00
TO00041,LYNDA MILES T/AS MILES APART,UGO/5,"STAT A5 RULED NOTEPAD, 170 SHEET",5012128082887.00,20,10,0.52,20,10.4,0.3,1.5,21,14,5024004082881.00,5024004610596.00
TO00041,LYNDA MILES T/AS MILES APART,UGO/6," STAT A5 RULED NOTEPAD, 170 SHEET",5012128082887.00,20,10,0.52,20,10.4,0.3,1.5,14.5,21,5024004082881.00,5024004610596.00
TO00041,LYNDA MILES T/AS MILES APART,VICB,STAT- A5 VINTAGE CLIPBOARD,5012128415814.00,36,12,0.54,36,19.44,0.18,1.5,23,32,5024004693469.00,5024004693476.00
TO00041,LYNDA MILES T/AS MILES APART,VIPN,STAT-VINTAGE 3 BALLPOINT PENS IN BOX,5012128416446.00,24,12,0.48,24,11.52,0.04,3,6.5,16.5,5024004694244.00,5024004694251.00
TO00041,LYNDA MILES T/AS MILES APART,VTR/3,STAT LAMINATING POUCHES PACK OF 18,5012128091018.00,24,12,1.07,24,25.68,0.28,35.5,0.5,25.5,5024004091012.00,5024004540657.00
TO00041,LYNDA MILES T/AS MILES APART,WCAR,"ACT-A4 WHITE CARD, A4, 20 SHEETS",5012128395390.00,30,0,0.5,180,90,0.34,0.5,36.5,22,5024004660393.00,
TO00041,LYNDA MILES T/AS MILES APART,WDVE,STAT-A5 GLITTER DYE CUTE NOTEBK 60SH,5012128415821.00,24,12,0.54,24,12.96,0.22,21,16,1.5,5024004693483.00,5024004693490.00
TO00041,LYNDA MILES T/AS MILES APART,WFRP,WRAP 12 SHEETS - 6 ASSORTED,5012128404108.00,25,0,0.47,200,94,0.2,36,27,0.03,5024004676066.00,5024004676073.00
TO00041,LYNDA MILES T/AS MILES APART,WHI/1,STAT PENS-4 WHITE BOARD MARKERS,5012128123443.00,36,0,0.48,72,34.92,0.06,1.5,7,14.5,5024004123447.00,
TO00041,LYNDA MILES T/AS MILES APART,WOGF,STAT-PHOTO A5NBOOK X2DESIGN DOGFATHR,5012128414671.00,24,12,0.54,24,12.96,0.22,1.2,15,21,5024004691380.00,5024004691397.00
TO00041,LYNDA MILES T/AS MILES APART,WRBR,5M WRAP CUTE BEARS 45MM INSRT,5012213327879.00,50,0,0.45,200,90,0.22,70,4.5,4.5,5012213329163.00,
TO00041,LYNDA MILES T/AS MILES APART,WRCX,5M WRAP NOVELTY KIDS 45MM INSRT,5012213275637.00,50,0,0.45,200,90,0.22,70,5,5,5012213329118.00,
TO00041,LYNDA MILES T/AS MILES APART,WREL,BAGS LARGE TRADITIONAL TREE & WREATH,5012128400612.00,48,12,0.42,48,20.16,0.08,32.8,26.5,0.3,5024004671283.00,5024004671290.00
TO00041,LYNDA MILES T/AS MILES APART,WREX,BAGS X LARGE TRADITIONAL TREE WREATH,5012128400629.00,48,12,0.48,48,23.04,0.1,45,33,0.4,5024004671306.00,5024004671313.00
